;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
Auburn University-Ma;1;1009;AL;I;575;501;1076;24;520;638;453;559;21;27;7548;6791;3070;25;57;16262;1716;2100;6300;3933;;;;600;1908;85;91;16,7;18;6642;69;580;437;374;455;692;527;451;546;366;354;301;66;1109
University of Alabam;1;1051;AL;I;;;;23;;;;;20;25;7593;5972;2682;;57;13780;1599;2172;5424;3530;1600;1930;;580;1654;80;91;17,3;29;6426;50;605;447;382;463;746;563;483;580;267;206;206;76;762
University of Alabam;1;1052;AL;I;;;;21;;;;;18;24;1797;1260;938;24;35;6960;4698;2220;4440;5175;1935;3240;291;750;2200;96;96;6,7;16;16352;33;633;445;366;461;786;569;475;587;106;163;107;19;406
University of Alaska;1;1063;AK;I;499;462;961;22;;;;;;;1852;1427;928;;;3885;4519;1742;5226;3590;1800;1790;155;650;2304;67;;10;8;11935;;686;560;432;508;914;753;572;677;74;125;118;40;404
Arizona State Univer;1;1081;AZ;I;521;453;974;23;450;590;390;500;20;25;12809;10308;3761;24;49;22593;7585;1828;7434;4850;;;66;700;2100;88;93;18,9;5;4602;48;603;449;399;489;723;549;489;593;576;445;251;7;1383
Northern Arizona Uni;1;1082;AZ;I;495;444;939;22;420;560;380;500;19;24;5891;4931;1973;23;48;11249;2682;1828;6746;3728;1890;1838;66;620;2342;78;83;21,7;7;6157;41;511;422;359;412;619;518;446;507;173;192;175;33;608
University of Arizon;1;1083;AZ;I;526;462;983;23;450;600;400;520;20;26;14079;12238;4529;29;57;21664;4894;1828;7434;4216;2186;2030;66;620;2550;91;95;19,6;;9683;49;648;462;411;537;771;561;498;645;647;377;272;2;1349
University of Arkans;1;1108;AR;I;;;;;;;;;20;26;3235;3108;2133;25;65;9978;1530;1932;5028;3300;3300;;122;500;2000;73;89;14,8;10;6820;39;563;436;379;452;686;531;461;550;314;198;225;54;806
California Institute;2;1131;CA;I;750;660;1410;;740;780;610;700;;;1916;507;210;98;;912;;16695;16695;5051;;;210;735;3466;;;6,5;36;62469;83;970;733;576;866;1204;909;717;1075;173;40;44;0;257
Stanford University ;2;1305;CA;I;736;665;1401;31;650;750;580;690;26;33;13608;2926;1616;88;97;6573;;18669;18669;6795;;;;840;1355;;99;9,7;25;33629;96;952;658;519;824;1144;814;653;1000;533;139;145;0;834
University of Califo;1;1312;CA;I;654;564;1218;;590;730;500;640;;;19873;8252;3215;95;;19532;2061;3949;11648;6246;;;;636;1933;93;97;15,8;10;13919;78;764;513;433;650;939;631;533;799;834;229;209;0;1346
University of Califo;1;1313;CA;I;585;485;1070;24;520;650;420;560;21;27;16343;11399;3124;95;;15429;1888;;7699;5285;;;4374;841;2374;;98;14,5;11;15873;76;683;478;404;561;840;588;496;689;535;190;234;0;1072
University of Califo;1;1314;CA;I;574;455;1029;;510;640;390;510;;;15698;10775;2478;85;;12677;864;4325;12024;5302;;;;790;1818;96;96;16,1;11;15934;66;708;488;423;574;870;599;520;705;319;161;138;0;673
University of Califo;1;1315;CA;I;621;520;1141;;558;700;460;590;;;22165;10435;3591;93;;21637;1255;;7689;5580;;;3894;850;1255;97;99;11,8;9;20260;77;741;497;421;609;910;611;517;748;817;267;298;0;1499
University of Califo;1;1316;CA;I;542;440;982;23;470;620;360;510;19;25;9798;7566;1470;80;;6922;265;;7699;5430;;;4092;780;1350;98;99;13,4;8;12528;62;670;461;390;514;824;567;479;632;183;80;140;0;441
University of Califo;1;1317;CA;I;616;515;1131;26;560;680;460;570;23;28;19433;11469;2481;95;;13738;711;;7699;6607;;;4128;630;1935;;;13,9;6;17674;66;723;487;401;595;888;598;493;732;405;147;130;0;734
University of Califo;1;1320;CA;I;547;459;1006;;520;610;400;490;;;16663;14141;3239;90;;15638;693;;11218;5990;;;4372;630;2045;96;;18,9;6;9475;69;712;473;401;578;875;581;493;711;371;125;145;0;694
University of Califo;1;1321;CA;I;554;505;1059;;490;620;440;580;;;10758;8559;1717;94;;8713;607;;7699;6081;6081;;4110;633;1191;94;;21,3;10;10860;59;677;464;391;537;832;570;481;660;186;93;92;0;413
University of Southe;2;1328;CA;I;592;498;1090;25;520;660;430;570;22;28;12229;8498;2477;45;71;13259;1429;17230;17230;6482;3566;2916;330;600;2210;90;94;11,4;10;17007;68;802;574;484;641;1016;751;636;825;485;354;286;27;1165
University of Northe;1;1349;CO;I;480;440;920;22;420;540;380;480;19;24;5530;4007;1697;12;37;8463;1498;1829;7731;4128;;;398;540;2286;75;75;21,5;8;6309;40;480;390;333;385;565;463;399;458;151;111;129;35;467
Colorado State Unive;1;1350;CO;I;545;479;1024;25;490;610;430;540;22;27;9478;6312;2194;29;65;15646;1829;2124;8412;4180;4180;;585;470;1800;87;89;19,2;10;7850;59;598;447;403;517;714;534;481;617;483;255;188;0;926
University of Colora;1;1370;CO;I;;;;;500;630;440;540;22;28;14063;9320;3436;28;65;18465;1541;2230;12563;3811;3811;;459;540;2319;90;90;19,9;;8703;66;652;494;421;528;797;615;519;649;457;301;227;93;1081
University of Denver;2;1371;CO;I;540;470;1010;24;470;590;430;540;21;27;2974;2001;580;29;60;2666;554;15192;15192;4695;4695;;330;400;1350;84;91;15,9;21;11762;67;623;479;430;509;756;588;525;620;142;106;101;6;378
Yale University     ;2;1426;CT;I;;;;;650;750;600;710;;;10705;2453;1317;95;99;5217;83;19840;19840;6510;3040;3470;;630;2115;96;96;5,8;49;40386;99;928;522;444;708;1127;643;548;863;404;118;191;6;767
University of Delawa;2;1431;DE;I;;;1035;;500;610;450;530;;;14446;10516;3252;22;57;14130;4522;3690;10220;4230;2280;1950;410;530;1300;82;87;18,3;15;10650;75;723;531;422;556;922;693;554;721;341;319;217;65;953
American University ;2;1434;DC;I;583;550;1133;;530;625;500;610;;;4613;3587;1048;35;77;4545;873;15934;15934;6400;2440;3960;210;450;800;;93;13,6;9;11803;69;746;520;417;555;897;641;505;673;165;119;125;37;446
Catholic University ;2;1437;DC;I;;;;;490;610;460;570;22;28;1754;1465;505;24;49;2159;211;13712;13712;6408;3622;2786;460;526;1100;90;96;9,3;18;12751;75;611;449;385;482;718;533;459;570;123;141;104;6;374
George Washington Un;2;1444;DC;I;;;;;530;650;490;600;24;29;7875;5062;1492;38;71;5471;1470;17450;17450;6328;3998;2330;720;700;950;92;93;7,6;15;14745;72;729;542;447;610;874;653;536;733;316;175;134;12;637
Georgetown Universit;2;1445;DC;I;;;;;600;690;540;650;26;31;11115;2881;1390;71;93;5881;406;18300;18300;7131;2590;4541;156;670;1700;91;92;7,2;27;19635;95;857;552;427;618;1080;710;546;785;192;157;154;25;528
Howard University   ;2;1448;DC;I;457;426;883;20;390;510;360;470;17;22;9776;3164;1666;;;6705;874;7128;7128;3750;2050;1700;615;300;;78;86;7,5;4;18287;46;656;483;403;481;780;591;494;587;241;282;189;111;891
Florida State Univer;1;1489;FL;I;;;;;510;630;460;560;23;27;11651;8683;3023;50;90;18906;3242;1780;6680;4060;1910;2150;;600;1020;80;89;23,1;15;7250;58;564;399;378;473;729;525;494;616;510;316;192;16;1038
University of Florid;1;1535;FL;I;;;;;550;670;470;580;24;28;12445;8836;3623;54;85;24470;3286;1820;7090;4180;1960;2220;;630;1530;88;97;13,4;20;14737;66;613;430;399;501;790;567;527;653;981;721;510;49;2261
University of Miami ;2;1536;FL;I;;;;;490;640;430;560;21;27;7122;5386;1643;42;69;7760;876;16500;16500;6526;3810;2716;180;630;1985;82;94;5,9;17;17500;59;693;510;408;513;895;654;514;659;291;200;147;20;769
University of South ;1;1537;FL;I;553;492;1045;23;500;610;430;550;20;25;7589;4676;1876;29;63;14770;10962;1856;6760;3776;1806;1970;;500;2180;84;89;17;7;11020;47;571;418;369;455;735;547;483;591;387;319;239;45;1038
Emory University    ;2;1564;GA;I;650;570;1220;28;600;700;530;610;26;30;8506;4168;1236;76;97;5544;192;17600;17600;6000;3600;2400;230;600;870;97;98;5;28;28457;96;796;547;451;608;972;686;567;753;203;177;161;8;549
Georgia Institute of;1;1569;GA;I;;;;;630;720;520;610;;;7837;4527;2276;89;99;8528;654;1899;6489;4438;4438;;444;795;1164;92;92;19,3;33;11271;70;684;517;462;558;862;665;594;711;235;206;167;17;626
Georgia State Univer;1;1574;GA;I;;;;;410;520;370;480;18;23;3793;2341;1238;9;24;7732;9054;2154;6744;2655;2655;;246;720;3450;87;89;19;10;7762;34;666;474;390;502;817;594;493;624;258;254;241;40;793
University of Georgi;1;1598;GA;I;571;515;1086;;520;640;470;570;;;11220;7871;3320;43;79;19553;2748;1899;5697;3600;1770;1830;453;525;1755;88;95;14,7;22;7881;63;619;444;378;489;768;553;464;607;650;552;391;64;1658
University of Hawaii;1;1610;HI;I;537;441;978;;470;600;380;500;;;3580;2603;1627;36;69;11028;2411;1460;4460;3038;1808;1230;97;687;1281;85;87;11,8;6;12833;54;713;532;458;570;887;677;587;719;442;285;272;;1099
University of Idaho ;1;1626;ID;I;517;463;980;23;420;580;390;530;19;25;3133;2799;1337;24;49;7242;1431;1548;5962;3540;;;;832;;82;95;13,5;18;8805;45;514;408;373;438;640;514;472;550;217;165;155;9;546
Illinois Institute o;2;1691;IL;I;603;499;1102;25;540;670;440;560;22;28;1756;1360;478;42;77;1911;626;14550;14550;4620;;;40;500;700;80;88;12,3;26;12851;56;680;480;452;512;836;606;558;636;93;81;73;11;287
Illinois State Unive;1;1692;IL;I;;;;22;;;;;19;25;8681;6695;2408;10;35;15701;1823;2600;7799;3403;3403;;815;537;2605;77;84;21;16;5569;54;548;436;373;460;638;514;445;541;289;187;244;0;720
Loyola University Ch;2;1710;IL;I;529;482;1011;24;470;590;430;540;21;26;3579;2959;868;25;55;5244;3417;11500;11500;5330;;;350;700;2000;94;95;6,2;15;13009;65;761;536;433;570;924;664;536;701;164;230;163;6;563
Northern Illinois Un;1;1737;IL;I;;;;22;;;;;20;25;10706;7219;2397;12;37;14826;1979;2600;7799;3296;3296;;950;470;1750;73;78;17,3;11;6086;56;578;435;375;440;667;509;443;515;314;266;246;112;944
Northwestern Univers;2;1739;IL;I;670;600;1270;29;610;720;540;640;27;31;12289;5200;1902;85;98;7450;45;16404;16404;5520;;;;759;1585;96;;6,8;25;26385;92;860;596;496;712;1045;735;602;868;460;209;203;0;872
Southern Illinois Un;1;1758;IL;I;;;;22;;;;;18;23;;;2158;;;16961;2499;2318;6953;3256;1920;1336;864;600;2608;71;;14,9;6;9158;44;564;436;359;422;657;517;431;500;272;255;313;33;977
University of Chicag;2;1774;IL;I;;;;;630;720;570;680;27;31;6348;2999;922;68;94;3340;39;18930;18930;6380;3070;3310;486;500;1254;99;99;5,3;36;36854;90;894;586;515;742;1104;724;636;916;467;138;161;36;802
University of Illino;1;1775;IL;I;617;522;1139;27;550;700;470;580;23;29;14939;11652;5705;52;88;25422;911;2760;7560;4574;1780;2794;920;500;1982;87;90;17,4;13;8559;81;682;493;421;570;783;574;494;659;927;520;393;1;1868
University of Illino;1;1776;IL;I;;;;21;;;;;18;23;8384;5727;2710;22;50;13518;2916;2520;7230;5088;3198;1890;1108;630;3228;82;84;10;6;13883;34;656;476;411;513;755;555;483;596;401;369;296;20;1135
Ball State Universit;1;1786;IN;I;473;422;895;21;400;530;360;470;18;24;9361;7910;3849;38;50;16148;2207;2864;7244;3608;3608;;;500;1500;69;;17,7;25;7449;51;517;410;332;384;666;537;438;501;297;160;350;155;965
Indiana University a;1;1809;IN;I;530;466;996;24;;;;;;;16587;13243;5873;25;72;24763;2717;2984;9766;3990;;;389;600;2000;77;88;21,3;24;8686;68;674;479;399;540;852;615;507;685;624;344;305;1;1361
Purdue University at;1;1825;IN;I;545;453;998;24;470;620;390;510;22;27;21804;18744;5874;29;60;26213;4065;2884;9556;3990;;;;570;1060;86;86;18,2;15;8604;67;721;485;423;562;920;631;548;722;603;411;400;29;1443
University of Notre ;2;1840;IN;I;650;570;1220;;620;720;540;640;;;7700;3700;1906;79;96;7671;30;16850;16850;4400;4400;;147;600;1350;96;92;13,1;46;13936;97;798;562;470;637;985;701;573;787;274;195;164;11;644
Iowa State Universit;1;1869;IA;I;;;;;530;640;380;460;22;27;8427;7424;3441;26;59;18676;1715;2291;7550;3224;3224;;162;640;2055;81;88;19,2;22;8420;65;684;506;404;534;842;635;514;666;467;353;284;84;1188
University of Iowa  ;1;1892;IA;I;;;;;;;;;22;27;9224;8025;3262;23;52;15412;2878;2291;8149;3423;;;164;640;2426;;98;13,1;37;12194;62;706;509;432;579;872;643;549;723;486;308;260;10;1064
